Sindarin	English
Ae!	hello!
Ae!	hey!
Ae!	oh!
Ae!	ah!
Galdol	welcome
Galdol	good
Galdol	blessed
Galdol	fortunate
Galu	blessing
Galu	a blessing
Mae govanthen	well met
Mae govannen	well met
Maedol	welcome
Maedol	well-coming
Na mhedui!	At last!
Rhudol	unwelcome
Rhudol	evil-coming
Suil	greetings
Trevaded and?	Long journey?
Dandúledh?	You again?
Dandúledh?	You returned?
Dandúleg?	You again?
Dandúleg?	You returned?
Êl síla erin lûmh e-govaded ‘wîn	A star shines on the hour of our meeting
Êl síla erin lûmh e-govaded ‘wîn	A star shines over the time of our meeting
Gwannas lûmh and	It has been too long
Gwannas lûmh and	a long time has passed
I mâr nîn i mâr dhîn	My home is your home
I mâr nîn i mâr gîn	My home is your home
Nathlo i nathal!	Welcome the guest!
Ni mheren an dhe ñovaded	I am happy to meet you
Ni mheren an dhe ñovaded	I am joyous to meet you
Ni mheren an gi ñovaded	I am happy to meet you
Ni mheren an gi ñovaded	I am joyous to meet you
Se i mâr nîn	This is my home
Tolo, govado mhen	Come, join us
Tolo, govado mhen	Come, meet us
Dhe nathlomh hi	You are welcome here
Dhe nathlomh hi	We welcome you here
Gi nathlomh hi	You are welcome here
Gi nathlomh hi	We welcome you here
Dhe suilanthon	I give greetings to you
Gi suilanthon	I give greetings to you
Dhe suilon	I greet you
Gi suilon	I greet you
Ego!	Go on!
Ego!	Get!
Ego!	Get away!
Ego!	Scram!
Ego!	Go away!
Cuio mhae	Farewell
Cuio mhae	Live well
Faro mhae	Good hunting
Faro mhae	Hunt well
No mheren	Enjoy yourself
No mheren	Have fun
No mheren	Be joyful
No mheren	Be festive
Nomhaer	Farewell
Nomhaer	Be good
Law firo i laiss e-guil dhîn	May the leaves of your life never die
Law firo i laiss e-guil dhîn	May the leaves of your life not die
Nínion ned i mhened ‘wîn	I cry upon our leaving
Nínion ned i mhened ‘wîn	I will weep during our departure
Nínion ned i mhened dhîn	I cry upon your leaving
Nínion ned i mhened dhîn	I cry on your going
Nínion ned i mhened mhîn	I cry upon our leaving
Nínion ned i mhened mhîn	I will weep during our departure
Boe annin mened	I must go
Boe annin mened	it is necessary for me to leave
Galo Anor erin râd dhîn	May the sun shine upon your path
Harthon a threvaded and	I hope it will be a long journey
Harthon a threvaded and	I hope for a long journey
No gelin in raid dhîn, a no adel dhen i chwest	May your paths be green, and the breeze behind you
A chi?	And you are?
A de?	And you are?
A the?	And he is?
A the?	And she is?
A the?	And it is?
A thi?	And they are?
Ma den?	Who is he?
Ma den?	Who is she?
Ma den?	Who is it?
Ma dhen?	Who are you?
Ma din?	Who are they?
Ma gin?	Who are you?
Ma i eneth dhîn?	What is your name?
Ma i eneth dîn?	What is his name?
Ma i eneth dîn?	What is her name?
Ma i eneth dîn?	What is its name?
Ma i eneth gîn?	What is your name?
Ma in enith dhîn?	What are your names?
Ma in enith dîn?	What are their names?
Im	I am
Im	Myself
ah i mhellon nîn	and my companion is
ah i mhellon nîn	and my friend
Im estanthen	I'm called
Im estanthen	I am called
in enith dhîn	and are your names
in enith dîn	and are their names
i eneth gîn	is your name
i eneth nîn	is my name
Nin renidh?	Do you remember me?
Nin renig?	Do you remember me?
Dhen renin	I remember you
Gin renin	I remember you
Dhen renimh	We remember you
Gin renimh	We remember you
Gin iston?	Do I know you?
Nin istog	You know me
Dhen iston?	Do I know you?
Mhen istodh	You know us
Mhen istog	You know us
Iston i nîf dhîn	I know your face
Iston i nîf dhîn	I know your faces
Iston i nîf gîn	I know your face
Me edhil	We are Elves
Mi mhan ci onthen?	Where were you born?
Mi mhan ci onthen?	In where were you begotten?
Mi mhan de onthen?	Where were you born?
Mi mhan de onthen?	In where were you begotten?
Ni law adan	I am not human
Ni law adan	I am not a human
Ni law edhel	I am not an Elf
Ni adan	I am a human
Ni adan	I am human
Ni edhel	I am an Elf
Mi mhan de enthin?	Where were you born?
Mi mhan de enthin?	In where were you begotten?
Mi mhan dorthodh?	Where do you live?
Mi mhan dorthodh?	In where do you live?
Mi mhan dorthog?	Where do you live?
Mi mhan dorthog?	In where do you live?
i mâr mhîn	is our home
i mâr nîn	is my home
i mardor mhîn	is our homeland
i mardor nîn	is my homeland
Ni thelidh?	You mean me?
Ni thelidh?	You intend me?
Ni thelig?	You mean me?
Ni thelig?	You intend me?
Am man anírodh istad?	Why do you want to know?
Am man anírodh istad?	For what do you want to have knowledge?
Ma theled istad?	Why do you want to know?
Ma theled istad?	What is the purpose of having knowledge?
I eneth dhîn dírphed	Your name is difficult to pronounce
I eneth gîn dírphed	Your name is difficult to pronounce
In enith dhîn dírphed	Your names are difficult to pronounce
Law den aníron	I do not want it
Law iston	I do not know
Piston	I suppose
Aníron peded	I wish to speak
Aníron peded	I desire to speak
Anthon i dhâf nîn achin	I give you my permission
Anthon i dhâf nîn achin	I give my permission to you
Anthon i dhâf nîn anden	I give you my permission
Anthon i dhâf nîn anden	I give my permission to you
Den iston	I think so
Den iston	I know it
Gwestodh?	Do you promise?
Gwestog?	Do you promise?
Gweston	I promise
Iston	I know
Man ebenthedh?	What did you say?
Man ebentheg?	What did you say?
Pedin den i ebenthedh	What you just said
Pedin den i ebenthedh	I say that which you said
Pedin den i ebentheg	What you just said
Pedin den i ebentheg	I say that which you said
Penin inc	I have no idea
Penin inc	I lack an idea
Semhin inc	I have a thought
Semhin inc	I have an idea
Semhin naw	I have a thought
Ma i beth an be Annúnaid?	What is the word for in Westron?
Ma i beth an be Edhellen?	What is the word for in Elvish?
i beth	is the word
Pêd edhellen?	Does he speak Elvish?
Pêd edhellen?	Does she speak Elvish?
Pêd edhellen?	Does it speak Elvish?
Pedidh edhellen?	Do you speak Elvish?
Pedig edhellen?	Do you speak Elvish?
Pedir edhellen?	Do they speak Elvish?
Pêd edhellen	He speaks Elvish
Pêd edhellen	She speaks Elvish
Pêd edhellen	It speaks Elvish
Pedimh edhellen	We speak Elvish
Pedin edhellen	I speak Elvish
Pedir edhellen	They speak Elvish
Ú-bed edhellen	He can not speak Elvish
Ú-bed edhellen	She can not speak Elvish
Ú-bed edhellen	It can not speak Elvish
Ú-bedimh edhellen	We can not speak Elvish
Ú-bedin edhellen	I can not speak Elvish
Ú-bedir edhellen	They can't speak Elvish
ah pedir edhellen	and speak Elvish
pêd edhellen	speaks Elvish
Amman heniodh edhellen?	Why do you know Elvish?
Amman heniodh edhellen?	Why do you understand Elvish?
Amman heniog edhellen?	Why do you know Elvish?
Amman heniog edhellen?	Why do you understand Elvish?
Ada a Nana pedir edhellen	Dad and mom speak Elvish
Ada pêd edhellen	Dad speaks Elvish
I adar nîn ah i naneth nîn pedir edhellen	My father and mother speak Elvish
I adar nîn pêd edhellen	My father speaks Elvish
I naneth nîn pêd edhellen	My mother speaks Elvish
Nana pêd edhellen	Mom speaks Elvish
Heniodh?	Do you understand?
Heniog?	Do you understand?
Henion	I understand
Ú-chenion	I can not understand
Ni cheniodh?	Do you understand me?
Ni cheniog?	Do you understand me?
Dhe chenion	I understand you
Dhen ú-chenion	I can not understand you
Gi chenion	I understand you
Gin ú-chenion	I can not understand you
Telir foen	clouds are coming
Tôl alagos	a wind storm is coming
Tôl fain	a cloud is coming
Tôl hîth	fog is coming
Tôl hîth	mist is coming
Tôl hwest	a breeze is coming
Tôl mîth	dense fog is coming
Tôl sûl	wind is coming
Glosta	it is snowing
Helegui	it is icy
Helegui	icy
Alagos	there is a wind storm
Alagos	wind storm
Apharch	it is very dry
Apharch	very dry
Fân	there is a cloud
Fân	thin clouds
Fân fantha Anor	it is overcast
Fân fantha Anor	a cloud veils the sun
Foen	there are clouds
Foen	clouds
Gloss	there is snow
Gloss	snow
Gloss bo dalaf	there is snow on the ground
Gloss bo dalaf	snow on the ground
Gwaeren	it is windy
Gwaeren	windy
Helch	it is bitter cold
Helch	bitter cold
Heleg	there is ice
Heleg	ice
Heleg bo dalaf	there is ice on the ground
Heleg bo dalaf	ice on the ground
Hethu	it is foggy
Hethu	foggy
Him	it is cool
Him	cool
Hîth	there is fog
Hîth	there is mist
Hîth	fog
Hîth	mist
Hithui	it is foggy
Hithui	it is misty
Hithui	foggy
Hithui	misty
Hwest	there is a breeze
Hwest	breeze
Laug	it is warm
Laug	warm
Limp	it is wet
Limp	wet
Lossen	it is snowy
Lossen	snowy
Madha	there is mud
Madha	mud
Madha bo dalaf	there is mud on the ground
Madha bo dalaf	mud on the ground
Mîdh bo dalaf	there is dew on the ground
Mîdh bo dalaf	dew on the ground
Mîth	there is dense fog
Mîth	dense fog
Nórui	it is sunny
Nórui	sunny
Parch	it is dry
Parch	dry
Ring	it is cold
Ring	cold
Ross	there is rain
Ross	rain
Sûl	there is wind
Sûl	wind
Uil	it is raining
Úrui	it is hot
Úrui	hot
Elegys law mhaer annin	I do not like wind storms
Elegys law mhaer annin	wind storms are not good for me
Elegys maer annin	I like wind storms
Elegys maer annin	wind storms are good for me
Foen law mhaer annin	I do not like clouds
Foen law mhaer annin	clouds are not good for me
Foen maer annin	I like clouds
Foen maer annin	clouds are good for me
Gloss law mhaer annin	I do not like snow
Gloss law mhaer annin	snow is not good for me
Gloss maer annin	I like snow
Gloss maer annin	snow is good for me
Gwaew law mhaer annin	I do not like wind
Gwaew law mhaer annin	wind is not good for me
Gwaew maer annin	I like wind
Gwaew maer annin	wind is good for me
Heleg law mhaer annin	I do not like ice
Heleg law mhaer annin	ice is not good for me
Heleg maer annin	I like ice
Heleg maer annin	ice is good for me
Hîth law mhaer annin	I do not like fog
Hîth law mhaer annin	I do not like mist
Hîth law mhaer annin	fog is not good for me
Hîth law mhaer annin	mist is not good for me
Hîth maer annin	I like fog
Hîth maer annin	I like mist
Hîth maer annin	fog is good for me
Hîth maer annin	mist is good for me
Hwist law mhaer annin	I do not like breezes
Hwist law mhaer annin	breezes are not good for me
Hwist maer annin	I like breezes
Hwist maer annin	breezes are good for me
Madha law mhaer annin	I do not like mud
Madha law mhaer annin	mud is not good for me
Madha maer annin	I like mud
Madha maer annin	mud is good for me
Mîth law mhaer annin	I don't like dense fog
Mîth law mhaer annin	dense fog is not good for me
Mîth maer annin	I like dense fog
Mîth maer annin	dense fog is good for me
Ross law mhaer annin	I do not like rain
Ross law mhaer annin	rain is not good for me
Ross maer annin	I like rain
Ross maer annin	rain is good for me
Alfarn	not enough
Farn	that will suffice
Farn	enough
Cilo mach!	choose an item!
Colo hen annin	hold onto this for me
Colo hen annin	carry this for me
Antho den annin	give it to me
Banchathab?	shall we trade?
Banchathab?	do we agree to trade?
Banchathanc?	shall the two of us trade?
Banchathanc?	do we agree to trade?
Den aníron	I want it
Hain aníron	I want those
Han aníron	I want that
Hen aníron	I want this
Hin aníron	I want these
Leutho mach!	pick out an item!
Leutho mach!	pick up an item!
Mabo hen	take this
Man anírodh athen?	what do you want for it?
Man anírodh?	what do you want?
Man anírog athen?	what do you want for it?
Man anírog?	what do you want?
Niñ gweriog	you are cheating me
Niñ gweriog	you cheat me
Echuio	wake up
Echuio	awaken
Loro hi	sleep here
Posto hí	rest here
Posto hí	pause here
Aníron mened	I wish to go
Aníron mened	I desire to go
